Game Name;Batch Size;EAI name;EAI level;P1;Level;P2;Level;P3;Level;P4;Level;
Ludo;1000;RE;100;HC;100;HC;100;HC;100;HC;100;
LEADER_SWITCHES;CREDIBILITY;JUSTICE;LEADER_TIME;THRILL;LEAD;FREEDOM;RANDOMNESS
10;1000;10;10;10;3;1;0;
Poèet kol;Zmìna vedení;Napínavost;Náskok;Spravedlnost;Uvìøitelnost;Svoboda;Náhodnost;Vedení;P1W;P2W;P3W;P4W;P5W;P1MinC;P2MinC;P3MinC;P4MinC;P5MinC;P1MaxC;P2MaxC;P3MaxC;P4MaxC;P5MaxC;P1AvgC;P2AvgC;P3AvgC;P4AvgC;P5AvgC;P1Turn;P2Turn;P3Turn;P4Turn;P5Turn;P2Justice;P3Justice;P4Justice;P5Justice;P2LT;P3LT;P4LT;P5LT
351;48;7,310541;4;0,026264;21,739;1,78063;1,34857;72,0017;0;0;0;1;0;6;1;1;1;1;6;4;4;4;4;6;1,28866;1,85714;2,68675;1,40698;351;97;84;83;86;-21;-4;4;-11;1;201;72;76;
299;47;6,692307;11;0,0381135;16,0727;1,89298;1,32215;39,7649;0;0;0;1;0;6;1;1;1;1;6;4;4;4;4;6;1,58228;1,58824;2,13235;2,43939;299;79;85;68;66;-13;-11;11;-19;81;110;99;8;
297;15;27,424242;29;0,0952409;19,0828;1,68013;1,37162;98,618;0;0;0;0;1;6;1;1;1;1;6;4;4;4;4;6;1,60526;1,63768;1,40476;2,1791;297;76;69;84;67;-29;-29;-45;29;33;10;9;244;
329;19;7,948328;15;0,0541695;20,4151;2,05167;1,22027;55,5293;0;0;1;0;0;6;1;1;1;1;6;4;4;4;4;6;2,02469;2,21111;1,94048;2,0411;329;81;90;84;73;-15;15;-28;-29;146;128;21;33;
332;46;7,358434;3;0,021094;25,4884;1,74699;1,17674;10,0592;0;0;0;0;1;6;1;1;1;1;6;4;4;4;4;6;1,57692;1,41;2,15385;1,97333;332;78;100;78;75;-3;-11;-15;3;73;83;99;76;
329;43;6,914894;13;0,0426012;17,8181;1,71733;1,09604;66,1967;0;1;0;0;0;6;1;1;1;1;6;4;4;4;4;6;1,41975;1,78313;1,80247;1,87952;329;81;83;81;83;13;-20;-13;-22;154;142;12;20;
401;25;9,802993;7;0,0207289;32,5583;1,64339;1,07;125,942;0;1;0;0;0;6;1;1;1;1;6;4;4;4;4;6;1,64762;1,78641;1,52475;1,62637;401;105;103;101;91;7;-15;-7;-11;314;0;67;19;
411;37;14,250608;11;0,0468323;21,1163;1,53528;1,17256;75,7644;0;0;1;0;0;6;1;1;1;1;6;4;4;4;3;6;1,3;1,83168;1,58824;1,45361;411;110;101;102;97;-43;11;-11;-14;9;122;214;65;
415;48;6,351807;2;0,0388356;34,4002;1,72771;1,29589;61,0102;0;0;1;0;0;6;1;1;1;1;6;4;4;4;4;6;1,69643;1,69608;1,96;1,58;415;112;102;100;100;-2;2;-39;-17;158;167;66;23;
265;23;10,328301;13;0,0611364;31,4192;1,92453;1,3428;56,9868;0;0;1;0;0;6;1;1;1;1;6;4;4;4;4;6;1,90323;1,53846;2,19048;2,19672;265;62;78;63;61;-13;13;-16;-32;70;157;28;9;
245;14;9,546939;11;0,0684254;16,8443;1,93878;1,21926;51,3323;0;0;1;0;0;6;1;1;1;1;6;4;4;4;4;6;2,21053;1,90769;1,71875;1,98276;245;57;65;64;58;-11;11;-25;-33;92;128;24;0;
450;26;13,575556;11;0,0282596;24,5267;1,64667;1,22272;114,737;0;0;0;1;0;6;1;1;1;1;6;4;4;4;4;6;1,2437;1,69027;1,73684;1,98058;450;119;113;114;103;-21;-19;11;-11;49;8;87;305;
410;27;22,502439;16;0,0422778;38,3113;1,61707;1,22249;112,097;0;0;0;0;1;6;1;1;1;1;6;4;4;4;4;6;1,54369;1,7451;1,53398;1,66337;410;103;102;103;101;-28;-24;-16;16;32;71;13;293;
257;12;6,295720;4;0,0372633;21,5469;2,10506;1,06836;74,1181;0;0;0;1;0;6;1;1;1;1;6;4;4;4;4;6;1,51429;2,93333;2,32308;1,77049;257;70;60;65;61;-4;-20;4;-16;185;6;64;1;
371;28;13,539083;9;0,0463565;34,5964;1,7062;1,17365;57,9332;0;1;0;0;0;6;1;1;1;1;6;4;4;4;4;6;1,36264;1,72727;2,44578;1,39175;371;91;99;83;97;9;-9;-14;-39;160;105;105;0;
342;33;7,195907;3;0,0353354;28,9169;1,7924;1,10631;51,3876;0;0;0;0;1;6;1;1;1;1;6;4;4;3;4;6;2,18987;1,52874;1,55422;1,93478;342;79;87;83;92;-8;-29;-3;3;146;116;10;69;
310;27;10,135484;16;0,0574149;23,7648;1,56452;1,19417;39,3978;0;0;0;0;1;6;1;1;1;1;6;4;4;4;3;6;1,43529;1,84211;1,24;1,78082;310;85;76;75;73;-30;-16;-24;16;65;19;103;122;
375;26;18,959999;6;0,0484752;30,4799;1,816;1,12366;58,5939;0;0;1;0;0;6;1;1;1;1;6;4;4;4;4;6;1,95652;1,51136;1,57273;2,32143;375;92;88;110;84;-6;6;-43;-18;64;194;47;69;
308;40;7,899351;19;0,0634709;18,8133;1,81169;1,08713;57,3689;0;1;0;0;0;6;1;1;1;1;6;4;4;4;4;6;1,37931;1,95775;2;2,01351;308;87;71;75;74;19;-32;-19;-23;159;3;51;94;
259;21;9,714286;16;0,0752764;14,9244;1,83012;1,26453;67,1807;0;0;0;1;0;6;1;1;1;1;6;4;4;4;4;6;1,46154;1,90164;2,26984;1,73913;259;65;61;63;69;-30;-16;16;-33;22;45;179;12;
265;26;9,788679;6;0,0559915;27,9798;1,74717;1,21023;80,7372;0;0;0;1;0;6;1;1;1;1;6;4;4;4;4;6;1,67692;1,92188;1,97059;1,44776;265;65;64;68;67;-6;-25;6;-31;59;4;200;1;
453;43;8,006622;7;0,0233286;34,8768;1,71523;1,02046;82,4712;0;1;0;0;0;6;1;1;1;1;6;4;4;4;4;6;1,17692;3,02222;1,32773;1,71681;453;130;90;119;113;7;-22;-7;-13;92;60;47;253;
279;46;4,939068;2;0,0157567;16,0276;2,24731;1,25809;41,8897;0;1;0;0;0;6;1;1;1;1;6;4;4;4;4;6;2,15278;2,52174;1,71831;2,66667;279;72;69;71;66;2;-10;-2;-5;131;85;35;27;
286;46;7,024476;13;0,0439998;38,7485;1,81469;1,20175;34,5425;0;1;0;0;0;6;1;1;1;1;6;4;4;4;4;6;1,86567;2,25;1,35227;1,98485;286;67;64;88;66;13;-16;-13;-18;82;21;65;117;
297;19;8,663300;15;0,0771129;19,8727;1,67677;0,996622;77,6434;0;1;0;0;0;6;1;1;1;1;6;4;4;3;4;6;1,38158;1,75325;1,2875;2,46032;297;76;77;80;63;15;-15;-49;-23;201;24;0;71;
299;17;11,060201;17;0,063332;27,2897;1,93645;1,11493;115,249;0;1;0;0;0;6;1;1;1;1;6;4;4;4;4;6;1,54651;1,875;1,77778;2,69118;299;86;72;72;68;17;-17;-35;-18;274;3;7;14;
303;42;5,914191;4;0,0265418;29,0756;1,72607;1,18212;55,0341;0;0;0;1;0;6;1;1;1;1;6;4;4;4;4;6;1,92857;1,6338;2,10606;1,4;303;70;71;66;95;-15;-4;4;-15;151;27;105;19;
305;18;13,790164;8;0,0480646;19,3618;1,85902;1,23026;45,6946;0;0;0;0;1;6;1;1;1;1;6;4;4;4;4;6;2,28571;1,74684;1,49383;2;305;70;79;81;74;-21;-8;-31;8;100;120;0;84;
380;54;6,844737;9;0,0256069;21,9842;1,84737;1,22098;71,8518;0;0;0;0;1;6;1;1;1;1;6;4;4;4;3;6;1,82292;2,11702;1,65306;1,82418;380;96;94;98;91;-13;-16;-9;9;182;8;147;42;
340;20;11,511765;10;0,0509437;21,8274;2;1,40265;54,8834;0;0;0;0;1;6;1;1;1;1;6;4;4;4;4;6;1,48889;1,52688;3,02667;2,18519;340;90;93;75;81;-27;-10;-35;10;77;155;3;104;
367;30;9,531335;10;0,0299536;38,6243;1,85831;1,31352;43,2117;0;0;1;0;0;6;1;1;1;1;6;4;4;4;4;6;1,4;2,11236;2,04396;1,95349;367;100;89;91;86;-20;10;-10;-11;48;145;50;123;
254;19;22,826771;22;0,101558;22,8906;1,61417;1,08202;82,0133;0;0;0;1;0;6;1;1;1;1;6;4;4;4;4;6;1,57812;1,3662;2,12281;1,4918;254;64;71;57;61;-22;-32;22;-47;9;24;205;15;
420;61;6,004762;4;0,0136581;52,7625;1,78095;1,20644;67,0201;0;0;1;0;0;6;1;1;1;1;6;4;4;4;4;6;1,62136;1,3578;1,93137;2,24762;420;103;109;102;105;-4;4;-6;-12;218;43;80;78;
330;19;13,551516;16;0,052843;21,0005;1,64545;1,14894;126,07;0;0;1;0;0;6;1;1;1;1;6;4;4;4;4;6;1,37209;1,84615;1,90909;1,52273;330;86;78;77;88;-31;16;-16;-19;1;300;3;25;
264;31;6,454545;12;0,0566766;22,815;1,8447;1,20817;44,8853;0;0;0;1;0;6;1;1;1;1;6;4;4;4;4;6;1,5;2,12698;1,875;1,95312;264;72;63;64;64;-12;-25;12;-24;138;15;51;59;
448;52;7,149554;11;0,0380437;28,8162;1,98661;1,27908;54,7557;0;1;0;0;0;6;1;1;1;1;6;4;4;4;4;6;1,39669;2,41122;1,92035;2,32075;448;121;107;113;106;11;-14;-11;-37;88;206;71;82;
353;27;13,359774;18;0,0513873;19,7093;1,74504;1,0973;70,2318;0;0;0;0;1;6;1;1;1;1;6;4;4;4;4;6;1,56044;1,7619;1,92473;1,75;353;91;84;93;84;-19;-30;-18;18;82;10;59;201;
372;31;8,594086;7;0,0241368;26,1312;1,8629;1,08288;59,6296;0;0;1;0;0;6;1;1;1;1;6;4;4;4;4;6;1,4;1,58252;1,98901;2,63415;372;95;103;91;82;-12;7;-7;-17;148;48;155;20;
232;41;6,771552;13;0,0507044;11,1645;2,01293;1,37554;40,7454;0;0;0;1;0;6;1;1;1;1;6;4;4;4;4;6;1,68254;1,98214;2,58929;1,875;232;63;56;56;56;-13;-15;13;-14;40;50;125;16;
367;41;15,356948;22;0,058612;17,6179;1,80109;1,11817;59,672;0;0;1;0;0;6;1;1;1;1;6;4;4;4;4;6;1,53;1,58537;2,27586;1,85567;367;100;82;87;97;-22;22;-34;-23;36;192;74;64;
228;17;13,157895;22;0,0994061;9,77386;1,97368;1,4196;51,3389;0;0;0;0;1;6;1;1;1;1;6;4;4;4;4;6;1,5873;2,61538;1,83019;1,98305;228;63;52;53;59;-30;-22;-35;22;90;14;0;123;
272;17;14,573529;10;0,0411319;16,9889;2,04044;1,3524;57,8289;0;0;0;0;1;6;1;1;1;1;6;4;4;4;4;6;2,42857;1,63514;2,29412;1,89394;272;63;74;68;66;-15;-10;-19;10;62;40;7;162;
405;26;10,555555;15;0,0333642;19,9472;1,74815;1,1875;48,8876;0;0;1;0;0;6;1;1;1;1;6;4;4;4;4;6;1,59223;2,13043;1,92079;1,42593;405;103;92;101;108;-15;15;-15;-18;83;179;97;45;
306;26;7,473856;13;0,0451564;28,8153;1,93791;1,23197;63,0174;0;1;0;0;0;6;1;1;1;1;6;4;4;4;4;6;1,96341;1,55263;1,98667;2,29167;306;82;76;75;72;13;-13;-21;-20;182;18;43;62;
338;35;5,979290;9;0,0442313;25,1355;1,78698;1,07938;42,1448;0;0;0;0;1;6;1;1;1;1;6;4;4;4;4;6;1,57143;1,5;2,09412;2,06757;338;84;94;85;74;-9;-10;-33;9;156;64;48;69;
320;13;16,318750;10;0,068447;15,6499;1,625;1,2163;96,7584;0;0;0;0;1;6;1;1;1;1;6;4;4;4;4;6;1,54545;1,71795;1,45556;1,83784;320;77;78;90;74;-10;-24;-50;10;2;79;0;238;
358;26;10,932961;4;0,0381701;32,9757;1,7486;1,06513;69,8905;0;1;0;0;0;6;1;1;1;1;6;4;4;4;4;6;1,53125;1,89247;1,48235;2,13253;358;96;93;85;83;4;-20;-31;-4;161;42;0;154;
310;9;19,009678;19;0,0591169;12,4617;1,89355;1,13188;122,526;0;1;0;0;0;6;1;1;1;1;6;4;4;4;4;6;2,10526;1,55952;1,94444;2,02597;310;76;84;72;77;19;-19;-22;-27;289;20;0;0;
298;26;12,090604;15;0,0699211;18,0191;1,86577;1,19529;33,2744;0;0;0;0;1;6;1;1;1;1;6;4;4;4;4;6;1,7625;1,69444;1,58974;2,52239;298;80;72;78;67;-30;-15;-40;15;102;56;29;110;
356;41;8,817416;13;0,0398059;25,5258;1,85112;1,17535;40,2764;0;0;0;1;0;6;1;1;1;1;6;3;4;4;4;6;1,32609;1,71134;2,29268;2,17857;356;92;97;82;84;-25;-16;13;-13;31;97;83;144;
287;25;7,010453;12;0,0773984;28,4219;1,99303;1,23077;66,5977;0;1;0;0;0;6;1;1;1;1;6;4;4;4;4;6;1,69565;2,28788;2,16667;1,87342;287;69;66;72;79;12;-12;-14;-50;181;38;63;4;
283;17;10,480565;14;0,0446002;18,2991;1,95053;1,17819;68,795;0;0;0;1;0;6;1;1;1;1;6;4;4;4;4;6;2,03947;2,07576;1,68;2,06154;283;76;66;75;65;-15;-16;14;-14;187;17;55;23;
450;28;12,715555;12;0,0266506;35,0074;1,61111;1,09521;125,185;0;0;0;1;0;6;1;1;1;1;6;4;4;4;4;6;1,7;1,59829;1,44737;1,72222;450;110;117;114;108;-14;-12;12;-19;328;59;24;38;
374;40;8,529411;20;0,0514822;48,0898;1,67914;1,19035;52,447;0;0;1;0;0;6;1;1;1;1;6;4;4;3;4;6;2,21591;1,57692;1,31579;1,67442;374;88;104;95;86;-20;20;-20;-30;152;114;9;98;
392;51;9,798470;11;0,0272096;24,8738;1,66327;1,11573;79,641;0;0;0;0;1;6;1;1;1;1;6;4;4;4;4;6;1,44348;1,67045;1,52475;2,12644;392;115;88;101;87;-11;-14;-15;11;85;21;55;230;
291;27;12,982818;4;0,0277474;32,7012;1,84536;1,45;51,5291;0;0;0;1;0;6;1;1;1;1;6;4;4;4;4;6;1,78667;1,52;1,9726;2,16418;291;75;75;73;67;-16;-4;4;-14;42;115;129;4;
308;38;6,457792;9;0,0336153;20,4843;2,02597;1,2557;33,9807;0;0;0;1;0;6;1;1;1;1;6;3;4;4;4;6;1,55556;2,17105;1,9;2,58571;308;81;76;80;70;-14;-9;9;-18;66;62;134;45;
238;28;14,789916;20;0,0918873;9,8706;2,06303;1,25316;57,7164;0;0;1;0;0;6;1;1;1;1;6;4;4;4;4;6;1,65217;2,14815;1,83871;2,82692;238;69;54;62;52;-31;20;-35;-20;35;157;7;38;
439;22;13,733485;7;0,0270803;32,981;1,67882;1,12386;151,14;0;0;0;1;0;6;1;1;1;1;6;4;4;4;4;6;1,37069;1,79412;1,86842;1,71698;439;116;102;114;106;-13;-26;7;-7;45;3;370;20;
324;59;6,398148;3;0,054091;25,2198;2,02161;1,29876;45,964;0;0;0;0;1;6;1;1;1;1;6;4;4;4;4;6;2,5;1,88095;1,68675;2,07692;324;78;84;83;78;-3;-20;-42;3;121;80;6;116;
295;31;8,952542;7;0,0320433;30,1032;1,71864;1,16327;25,2834;0;0;1;0;0;6;1;1;1;1;6;4;4;4;4;6;1,2381;1,94366;1,47222;2,37313;295;84;71;72;67;-7;7;-19;-11;40;61;86;107;
272;8;12,761029;15;0,0515946;22,5781;2,00368;1,03506;102,67;0;1;0;0;0;6;1;1;1;1;6;4;4;4;4;6;2,43548;1,45;1,68116;2,7;272;62;80;69;60;15;-16;-20;-15;245;22;0;4;
352;24;10,542614;11;0,0388552;13,8566;1,80966;1,32051;80,2757;0;0;0;1;0;6;1;1;1;1;6;4;4;4;4;6;1,70588;1,34286;2,5679;1,7875;352;85;105;81;80;-11;-25;11;-19;67;10;222;52;
314;28;7,872612;4;0,0401909;25,5256;1,8535;1,25879;58,2897;0;1;0;0;0;6;1;1;1;1;6;4;4;4;4;6;1,48148;1,79762;1,84211;2,375;314;81;84;76;72;4;-17;-29;-4;113;152;1;47;
263;13;14,041825;15;0,0827626;53,0229;2,15589;1,21851;68,8495;0;1;0;0;0;6;1;1;1;1;6;4;4;4;4;6;2,51613;1,41558;2,14516;2,77049;263;62;77;62;61;15;-41;-34;-15;161;0;0;101;
295;16;11,572882;8;0,0393736;12,924;2,04068;1,18707;78,5637;0;0;0;1;0;6;1;1;1;1;6;4;3;4;4;6;1,87654;1,95588;1,48684;2,95652;295;81;68;76;69;-18;-22;8;-8;192;0;97;5;
306;39;7,212418;5;0,0432489;34,9301;2,09477;1,27541;57,595;0;0;1;0;0;6;1;1;1;1;6;4;4;4;4;6;1,6;2,37662;1,71053;2,77778;306;80;77;76;72;-5;5;-13;-31;83;166;44;12;
310;14;24,535484;18;0,0588561;13,5135;1,81613;1,34142;99,5926;0;0;0;0;1;6;1;1;1;1;6;4;4;4;4;6;1,52632;1,43373;2,04938;2,34783;310;76;83;81;69;-20;-30;-18;18;22;6;32;249;
348;38;8,488505;4;0,0244957;39,3689;1,7931;1,20893;48,4168;0;0;0;1;0;6;1;1;1;1;6;4;4;4;4;6;1,45918;1,58889;2,225;2,02532;348;98;90;80;79;-4;-19;4;-11;106;9;141;91;
374;49;7,288770;12;0,0308238;22,21;1,87166;1,32105;52,342;0;0;0;0;1;6;1;1;1;1;6;4;4;4;4;6;1,96774;1,91667;1,73404;1,88889;374;93;96;94;90;-15;-16;-12;12;134;75;148;16;
300;17;19,170000;11;0,0353156;25,3657;1,85;1,19231;91,2726;0;0;0;0;1;6;1;1;1;1;6;4;4;4;4;6;1,98684;1,83951;1,5;2,1;300;76;81;72;70;-12;-16;-11;11;232;7;30;30;
317;29;12,886436;13;0,0518241;20,3855;1,5836;1,23022;89,3057;0;0;0;1;0;6;1;1;1;1;6;4;4;4;4;6;1,71605;1,32184;1,70667;1,64384;317;81;87;75;73;-13;-32;13;-19;84;9;223;0;
